target,slice_point,oversampled,model_name,model
1,6.50,False,XGB,clf
1,6.50,False,HistGradientBoosting,reg1
1,6.50,False,HistGradientBoosting,reg2
1,11.90,True,HistGradientBoosting,clf
1,11.90,True,RandomForest,reg1
1,11.90,True,RandomForest,reg2
2,0.55,False,RandomForest,clf
2,0.55,False,RandomForest,reg1
2,0.55,False,HistGradientBoosting,reg2
2,10.35,True,HistGradientBoosting,clf
2,10.35,True,HistGradientBoosting,reg1
2,10.35,True,RandomForest,reg2
3,0.30,False,RandomForest,clf
3,0.30,False,RandomForest,reg1
3,0.30,False,HistGradientBoosting,reg2
3,11.00,True,HistGradientBoosting,clf
3,11.00,True,RandomForest,reg1
3,11.00,True,RandomForest,reg2
4,8.65,False,XGB,clf
4,8.65,False,HistGradientBoosting,reg1
4,8.65,False,RandomForest,reg2
4,10.05,True,HistGradientBoosting,clf
4,10.05,True,RandomForest,reg1
4,10.05,True,RandomForest,reg2
