target,slice_point,oversampled,model_name,model
1,0.05,False,RandomForest,clf
1,0.10,False,RandomForest,clf
1,0.15,False,RandomForest,clf
1,0.20,False,RandomForest,clf
1,0.25,False,RandomForest,clf
1,0.30,False,RandomForest,clf
1,0.35,False,RandomForest,clf
1,0.40,False,RandomForest,clf
1,0.45,False,RandomForest,clf
1,0.50,False,RandomForest,clf
1,0.55,False,RandomForest,clf
1,0.60,False,RandomForest,clf
1,0.65,False,RandomForest,clf
1,0.70,False,RandomForest,clf
1,0.75,False,RandomForest,clf
1,0.80,False,RandomForest,clf
1,0.85,False,RandomForest,clf
1,0.90,False,RandomForest,clf
1,0.95,False,RandomForest,clf
1,0.05,False,RandomForest,reg1
1,0.10,False,RandomForest,reg1
1,0.15,False,RandomForest,reg1
1,0.20,False,RandomForest,reg1
1,0.25,False,RandomForest,reg1
1,0.30,False,RandomForest,reg1
1,0.35,False,RandomForest,reg1
1,0.40,False,RandomForest,reg1
1,0.45,False,RandomForest,reg1
1,0.50,False,RandomForest,reg1
1,0.55,False,RandomForest,reg1
1,0.60,False,RandomForest,reg1
1,0.65,False,RandomForest,reg1
1,0.70,False,RandomForest,reg1
1,0.75,False,RandomForest,reg1
1,0.80,False,RandomForest,reg1
1,0.85,False,RandomForest,reg1
1,0.90,False,RandomForest,reg1
1,0.95,False,RandomForest,reg1
1,0.05,False,RandomForest,reg2
1,0.10,False,RandomForest,reg2
1,0.15,False,RandomForest,reg2
1,0.20,False,RandomForest,reg2
1,0.25,False,RandomForest,reg2
1,0.30,False,RandomForest,reg2
1,0.35,False,RandomForest,reg2
1,0.40,False,RandomForest,reg2
1,0.45,False,RandomForest,reg2
1,0.50,False,RandomForest,reg2
1,0.55,False,RandomForest,reg2
1,0.60,False,RandomForest,reg2
1,0.65,False,RandomForest,reg2
1,0.70,False,RandomForest,reg2
1,0.75,False,RandomForest,reg2
1,0.80,False,RandomForest,reg2
1,0.85,False,RandomForest,reg2
1,0.90,False,RandomForest,reg2
1,0.95,False,RandomForest,reg2
1,0.05,False,HistGradientBoosting,reg1
1,0.10,False,HistGradientBoosting,reg1
1,0.15,False,HistGradientBoosting,reg1
1,0.20,False,HistGradientBoosting,reg1
1,0.25,False,HistGradientBoosting,reg1
1,0.30,False,HistGradientBoosting,reg1
1,0.35,False,HistGradientBoosting,reg1
1,0.40,False,HistGradientBoosting,reg1
1,0.45,False,HistGradientBoosting,reg1
1,0.50,False,HistGradientBoosting,reg1
1,0.55,False,HistGradientBoosting,reg1
1,0.60,False,HistGradientBoosting,reg1
1,0.65,False,HistGradientBoosting,reg1
1,0.70,False,HistGradientBoosting,reg1
1,0.75,False,HistGradientBoosting,reg1
1,0.80,False,HistGradientBoosting,reg1
1,0.85,False,HistGradientBoosting,reg1
1,0.90,False,HistGradientBoosting,reg1
1,0.95,False,HistGradientBoosting,reg1
1,0.05,True,HistGradientBoosting,clf
1,0.10,True,HistGradientBoosting,clf
1,0.15,True,HistGradientBoosting,clf
1,0.20,True,HistGradientBoosting,clf
